ФИО,Факультет,Ученое звание,Ученая степень
Васильева В.В.,ГФ,старший преподаватель,доктор наук
Михайлов М.М.,ЕМФ,профессор,кандидат наук
Морозов М.М.,ГФ,профессор,кандидат наук
Васильева В.В.,ЮФ,доцент,доктор наук
Волков В.В.,ЕМФ,доцент,доктор наук
Смирнова А.А.,ГФ,доцент,кандидат наук
Петров П.П.,ГФ,ассистент,доктор наук
Смирнова А.А.,ЮФ,старший преподаватель,кандидат наук
Волков В.В.,ИЭиУ,профессор,доктор наук
Сидоров С.С.,ИЭиУ,ассистент,кандидат наук
Морозов М.М.,ИЭиУ,старший преподаватель,кандидат наук
Сидоров С.С.,ФИиВТ,старший преподаватель,кандидат наук
Петров П.П.,ИЭиУ,доцент,без степени
Сидоров С.С.,ФИиВТ,доцент,кандидат наук
Иванов И.И.,ФИиВТ,профессор,без степени
Иванов И.И.,ЮФ,ассистент,кандидат наук
Иванов И.И.,ФИиВТ,доцент,доктор наук
Михайлов М.М.,ЮФ,доцент,кандидат наук
Петров П.П.,ГФ,ассистент,доктор наук
Васильева В.В.,ЮФ,доцент,кандидат наук
Сидоров С.С.,ГФ,профессор,без степени
Федорова Ф.Ф.,ЮФ,профессор,доктор наук
Иванов И.И.,ГФ,старший преподаватель,доктор наук
Сидоров С.С.,ФИиВТ,доцент,доктор наук
Волков В.В.,ФИиВТ,профессор,без степени
Волков В.В.,ЮФ,старший преподаватель,доктор наук
Смирнова А.А.,ЮФ,профессор,кандидат наук
Михайлов М.М.,ЮФ,доцент,без степени
Васильева В.В.,ИЭиУ,старший преподаватель,кандидат наук
Сидоров С.С.,ЮФ,старший преподаватель,без степени
Петров П.П.,ЮФ,ассистент,кандидат наук
Волков В.В.,ЮФ,старший преподаватель,без степени
Морозов М.М.,ЮФ,старший преподаватель,доктор наук
Волков В.В.,ГФ,старший преподаватель,доктор наук
Михайлов М.М.,ГФ,старший преподаватель,кандидат наук
Морозов М.М.,ГФ,профессор,кандидат наук
Федорова Ф.Ф.,ФИиВТ,профессор,без степени
Иванов И.И.,ГФ,доцент,доктор наук
Михайлов М.М.,ГФ,доцент,без степени
Михайлов М.М.,ЕМФ,ассистент,доктор наук
Васильева В.В.,ЕМФ,старший преподаватель,без степени
Васильева В.В.,ФИиВТ,старший преподаватель,доктор наук
Кузнецов К.К.,ИЭиУ,ассистент,кандидат наук
Васильева В.В.,ЮФ,доцент,доктор наук
Михайлов М.М.,ЕМФ,профессор,доктор наук
Иванов И.И.,ЮФ,профессор,без степени
Сидоров С.С.,ГФ,старший преподаватель,без степени
Иванов И.И.,ФИиВТ,профессор,без степени
Петров П.П.,ЮФ,старший преподаватель,без степени
Васильева В.В.,ГФ,ассистент,доктор наук
Васильева В.В.,ЕМФ,профессор,без степени
Кузнецов К.К.,ЮФ,старший преподаватель,без степени
Васильева В.В.,ФИиВТ,старший преподаватель,кандидат наук
Кузнецов К.К.,ИЭиУ,доцент,без степени
Морозов М.М.,ФИиВТ,доцент,доктор наук
Федорова Ф.Ф.,ЕМФ,доцент,кандидат наук
Волков В.В.,ГФ,доцент,кандидат наук
Морозов М.М.,ЕМФ,старший преподаватель,без степени
Михайлов М.М.,ЮФ,доцент,доктор наук
Морозов М.М.,ИЭиУ,доцент,без степени
Михайлов М.М.,ФИиВТ,доцент,доктор наук
